p,q,aic,bic
23,18,-47885.23129784581,-47570.80390320279
23,19,-47884.85904198368,-47563.11938234896
23,20,-47885.95299578352,-47556.9010711571
23,21,-47879.25429703182,-47542.8901074137
23,22,-47888.89529013215,-47545.21883552234
23,23,-47880.16852718366,-47529.17980758215
23,24,-47876.9500254704,-47518.64904087719
23,25,-47877.17551727878,-47511.56226769387
23,26,-46866.56073113246,-46493.63521655586
24,0,-47919.289043295015,-47729.170153510866
24,1,-47917.282419973955,-47719.85126519811
24,2,-47915.290476782175,-47710.54705701463
24,3,-47913.25068247962,-47701.19499772038
24,4,-47911.294963543565,-47691.92701379262
24,5,-47909.3058175605,-47682.625602817854
24,6,-47907.31992537096,-47673.32744563662
24,7,-47905.32954662043,-47664.02480189439
24,8,-47903.34807870866,-47654.73106899092
24,9,-47901.5852696878,-47645.65599497836
24,10,-47899.501877582865,-47636.26033788173
24,11,-47897.581097630224,-47627.0272929374
24,12,-47895.45850028565,-47617.59243060112
24,13,-47893.43716183735,-47608.258827161124
24,14,-47891.39333159546,-47598.902731927534
24,15,-47889.342148671494,-47589.53928401187
24,16,-47891.03415825638,-47583.91902860506
24,17,-47885.988389452796,-47571.56099480978
24,18,-47885.99157350067,-47564.251913865955
24,19,-47885.48876286666,-47556.436838240246
24,20,-47881.46844038729,-47545.104250769175
24,21,-47877.40573167284,-47533.72927706303
24,22,-47891.87692602392,-47540.88820642241
24,23,-47878.3658365712,-47520.06485197799
24,24,-47876.17134291211,-47510.5580933272
24,25,-47874.96117160098,-47502.03565702438
24,26,-47867.77553304526,-47487.53775347696
25,0,-47917.45718074519,-47720.02602596934
25,1,-47915.44788399241,-47710.704464224866
25,2,-47913.457159610414,-47701.40147485117
25,3,-47911.454892967384,-47692.08694321644
25,4,-47909.47479569894,-47682.794580956295
25,5,-47907.48544377992,-47673.49296404558
25,6,-47905.49673870673,-47664.19199398069
25,7,-47903.50950508942,-47654.892495371685
25,8,-47901.519083484265,-47645.58980877483
25,9,-47899.7550141511,-47636.51347444997
25,10,-47897.665941757994,-47627.11213706517
25,11,-47895.748638510326,-47617.8825688258
25,12,-47893.700874784336,-47608.52254010811
25,13,-47891.67711821063,-47599.18651854271
25,14,-47889.637471668466,-47589.834607008845
25,15,-47887.43889233357,-47580.32376268225
25,16,-47885.64257729243,-47571.21518264941
25,17,-47884.99974529691,-47563.260085662194
25,18,-47881.486154031074,-47552.43422940466
25,19,-47879.67425843606,-47543.31006881795
25,20,-47877.68837488035,-47534.01192027054
25,21,-47875.612042347115,-47524.6233227456
25,22,-47888.75791744361,-47530.4569328504
25,23,-47874.631002039954,-47509.017752455045
25,24,-47874.663228237296,-47501.737713660696
25,25,-47874.72952012392,-47494.49174055562
25,26,-47872.53831577454,-47484.98827121454
26,0,-47915.467942095864,-47710.72452232832
26,1,-47913.45788441087,-47701.402199651624
26,2,-47911.474720056896,-47692.10677030595
26,3,-47909.47943248242,-47682.799217739775
26,4,-47907.49357427875,-47673.50109454441
26,5,-47905.50383383431,-47664.19908910827
26,6,-47903.517531289726,-47654.90052157199
26,7,-47901.53098151929,-47645.60170680985
26,8,-47899.539762672845,-47636.298222971716
26,9,-47897.770926749705,-47627.21712205688
26,10,-47895.68691642619,-47617.82084674166
26,11,-47893.77075866987,-47608.59242399364
26,12,-47891.735973606774,-47599.24537393885
26,13,-47889.71868557481,-47589.91582091519
26,14,-47888.00873935395,-47580.89360970263
26,15,-47885.62657885485,-47571.19918421183
26,16,-47883.56345275015,-47561.823793115436
26,17,-47881.62350733286,-47552.57158270644
26,18,-47879.53672541349,-47543.17253579538
26,19,-47877.724239114104,-47534.04778450429
26,20,-47876.716080435144,-47525.72736083363
26,21,-47878.62767369697,-47520.32668910376
26,22,-47718.18063523143,-47352.56738564652
26,23,-47874.81863456237,-47501.89311998577
26,24,-47870.44851728145,-47490.210737713154
26,25,-47873.06445043991,-47485.51440587991
26,26,-47874.914714568426,-47480.05240501673
